id_cliente,id_sku,num_pedidos,volumepedidos,volumecompras
3,10038,1,171.0,
3,101,1,142.2,
3,1011,45,1457.0,542.5
3,10131,15,1710.0,199.5
3,10134,15,1710.0,199.5
3,10148,1,52.49,
3,10163,5,130.05,106.56
3,10164,1,25.99,
3,10223,20,3029.5,290.5
3,10273,1,199.5,
3,10294,8,419.81,43.54
3,103,52,11991.9,1056
3,1043,5,263.3,117.6
3,10453,1,25.88,
3,10454,2,45.89,45.89
3,10458,55,3320.0,1121.36
3,10485,1,13.1,
3,10487,1,12.63,
3,10550,10,209.95,209.95
3,10552,12,252.72,252.72
3,10553,59,4667.7,1950.64
3,10563,1,97.0,
3,10600,22,478.08,183.73
3,10601,2,42.69,42.69
3,10602,13,224.36,224.36
3,10608,5,320.5601,
3,10624,1,300.0,
3,10625,1,28.0,
3,10675,1,440.0,
3,10676,1,820.0,
3,10693,1,117.0,
3,10721,15,3848.85,409.49
3,10754,1,405.6,
3,10767,1,350.0,
3,10805,9,3560.471,474.971
3,10852,5,188.4,97.5
3,10859,2,24.18,
3,10870,18,147.94004,7.59
3,10959,1,197.9196,
3,10968,4,342.2,342.2
3,10971,40,20148.95,3992.5
3,10974,64,1183.4,109.8
3,10984,1,3.6,3.6
3,10988,32,302.6,89.0
3,10996,1,21.8,
3,11007,7,244.51,69.86
3,11008,5,161.69,
3,11027,1,162.5,
3,11045,6,226.0,151.9
3,11048,2,12.0,
3,11059,1,154.4,154.4
3,11061,4,642.96,225.81
3,11062,2,156.975,52.325
3,11066,5,384.54,214.89
3,11090,1,102.525,
3,11091,2,87.186,
3,11095,4,690.912,86.364
3,11149,3,27.0,
3,11161,1,30.0,
3,11169,1,3.8,
3,11172,7,597.29,
3,11173,3,34.8,
3,11177,1,2.9,
3,11178,2,7.0,
3,11187,1,1.8,
3,11192,1,2.9,
3,11201,2,99.3,
3,11203,2,108.5,
3,11211,1,4.9,
3,11226,1,40.0,
3,11228,1,12.9,
3,11230,3,84.17,
3,11243,1,8.7,
3,11244,1,472.5,
3,11245,1,5.5,
3,11247,2,60.35,
3,11253,1,3.0,
3,11288,6,130.1652,130.1652
3,11335,3,93.0,
3,11338,1,239.9,
3,11344,45,2903.33,1343.1
3,11349,52,1683.46,178.04
3,11350,2,141.96,23.66
3,11351,1,28.28,28.28
3,1136,39,1235.3,283
3,1138,62,1908.75,396.34
3,11410,1,28.5,
3,11457,1,59.2,
3,1148,1,1.1,
3,11482,2,176.22,88.11
3,11491,4,40.32,
3,116,1,118.65,
3,1160,13,113.58,39.93
3,1161,2,6.6,
3,11615,3,8.16,
3,11653,2,22.86,
3,11672,5,683.1,271.44
3,11678,2,533.8,
3,11685,1,7.8,
3,11691,3,536.4,
3,11692,2,136.0,
3,11730,4,236.4,
3,11733,2,1150.0,
3,11748,2,49.2,
3,11853,1,600.0,
3,11922,16,1797.9888,
3,11943,8,695.52,318.78
3,11944,6,684.88,97.84
3,11945,2,113.94,56.97
3,11949,1,119.5,119.5
3,11950,10,1909.5,1809.0
3,12016,3,12.75,
3,12022,1,350.0,
3,12029,12,578.5,
3,12036,5,10.25,
3,12037,5,150.9,
3,12052,7,396.34,
3,12053,5,274.5,
3,12063,11,28.05,
3,12066,2,454.5,454.5
3,12094,2,136.3,136.3
3,12096,1,14.55,
3,12106,10,60.5,
3,12108,12,920.14,499.6
3,12118,7,319.2,39.9
3,12120,2,9.792,
3,12123,2,9.576,
3,12158,20,16997.5,1800.0
3,12161,8,397.76,397.76
3,12164,1,166.87,
3,12168,1,192.192,
3,12174,5,70.82,
3,12175,1,89.49,
3,12179,3,69.42,23.14
3,12204,7,313.32,
3,12223,1,67.228,
3,12240,26,1678.86,
3,12272,1,8.49,
3,12278,8,841.84,335.6
3,12297,10,633.41,
3,12298,2,110.53,94.74
3,12300,2,18.26,
3,1231,1,31.0,
3,12311,5,32.85,
3,12321,1,39.74,
3,12326,4,849.76,
3,12345,1,63.95,63.95
3,12381,18,744.56,94.4
3,12405,1,8.31996,
3,1242,15,413.21,177.25
3,12424,1,36.411,
3,12455,7,1311.24,187.32
3,12463,17,259.08,30.48
3,12468,6,89.88,14.98
3,12469,34,962.6,153.4
3,12476,16,1455.889,7.42
3,12479,1,62.56,
3,12484,8,229.128,59.44
3,12522,1,90.79,90.79
3,1253,1,28.35,
3,12544,2,12.36,
3,12550,1,20.8,20.8
3,12568,3,27.26,
3,12582,46,9631.7088,2160.1278
3,1263,14,554.4,39.6
3,1265,8,536.6,65.8
3,12674,2,57.0,38
3,12690,42,589.46,264.96
3,12697,2,108.18024,
3,12701,1,161.6,
3,12709,9,12.6,
3,12710,12,158.85,
3,12712,2,145.24,82.16
3,12714,67,4954.87,860.18
3,12718,1,35.6904,
3,12739,7,253.5,87.75
3,12759,1,78.2,
3,12768,17,523.83,207.31
3,1277,3,159.72,79.86
3,12779,1,152.4,
3,12800,3,99.2,43.24
3,12804,8,2369.52,254.4
3,12806,4,5.36,
3,12817,1,88.8,88.8
3,12822,1,91.56,
3,12862,1,165.6936,
3,12863,9,313.6204,32.9004
3,12864,1,64.65,
3,12893,2,19.1802,
3,12917,2,236.0,
3,12919,3,113.37,113.37
3,12920,14,725.46,30.03
3,12939,13,4322.2,758.8
3,1294,1,18.5,18.5
3,12960,46,1861.08,97.5
3,12962,1,38.67,38.67
3,12973,30,218.54,
3,12975,19,272.54,
3,12977,1,58.74,
3,12979,40,4518.0,
3,12986,24,833.39,98.89
3,12988,27,1678.6,
3,12990,11,1427.45,23.85
