id_cliente,pedidos_efetivos,max_pedido,min_pedido,tk_med_pedido,desvio_padrao_pedido,tk_ano,pedidos_ano,data_cadastro,data_ult_pedido,frequencia_med,frequencia_std,recencia_max,18,46,54,58,65,99,147,255,325,378
3,1299.0,2520.0,50.5,498.9638671875,355.18414306640625,163267.88353448277,327.21362068965516,1450.0,3.0,1.0506783769529977,2.8103893148031367,55.01641083635417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1072,242.0,4252.39990234375,111.5999984741211,769.5178833007812,753.5047607421875,63038.079442771086,81.91890639481001,1079.0,2.0,4.137237699782222,10.152553989101042,53.610441276400465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1456,237.0,6852.0,191.25,1699.367919921875,1080.81884765625,146664.43278757477,86.30533399800598,1003.0,7.0,3.427059397354757,6.708411545483935,56.17803753997685,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
130,133.0,4469.7998046875,201.6300048828125,880.9925537109375,888.4627685546875,32446.618742300037,36.82960576194087,1319.0,261.0,7.666422122155034,25.628238755637383,294.97678596283566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4211,117.0,2934.239990234375,200.16000366210938,678.8450317382812,401.2727966308594,47170.62234184451,69.48658536585366,615.0,33.0,4.809147284000602,6.982436243368554,42.89319116644676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
218003,110.0,1702.05908203125,261.3599853515625,624.891845703125,297.8780212402344,118427.30538767688,189.51650943396226,212.0,50.0,1.2657150803301969,2.1322072672498957,10.049212752291666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3692,91.0,3645.0,320.2650146484375,709.913818359375,454.827880859375,32103.312539859697,45.221428571428575,735.0,29.0,6.304038328246829,7.53125272869478,46.955102438819445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27993,84.0,561.9500122070312,200.00999450683594,302.55316162109375,93.72444915771484,28044.209317763405,92.6918429003021,331.0,3.0,3.903636646895521,1.9777072192502199,14.03841696255787,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2817,82.0,6372.0,250.55999755859375,1281.781982421875,1017.4765014648438,47689.456094720495,37.205590062111796,805.0,8.0,9.058970977482106,13.98898120144316,66.97440361380787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4863,78.0,2118.909912109375,135.32000732421875,673.1229858398438,524.7296752929688,36319.94950173118,53.95738636363636,528.0,9.0,5.821412181392697,14.012854821472894,71.08506182202547,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
249924,76.0,2333.469482421875,78.75,635.2825317382812,438.2140197753906,85605.86353250152,134.75242718446603,206.0,58.0,1.7182534864504282,4.479036406915972,24.936363326064814,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4050,57.0,2042.3599853515625,58.70000076293945,807.432373046875,594.7802124023438,25782.41961932036,31.931365030674847,652.0,16.0,10.310411981170683,10.969904238634005,54.10605858224537,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
19,54.0,2008.5,111.5999984741211,560.3060913085938,446.57000732421875,8309.17145794173,14.829699248120301,1330.0,1046.0,4.275739783033241,8.39240575071235,49.124056993564814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3975,52.0,1026.9300537109375,81.27999877929688,424.8717346191406,203.6925811767578,12008.317744663784,28.263392857142858,672.0,3.0,11.858262555448286,18.41677498424528,78.07846874600695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66146,42.0,507.68499755859375,35.45000076293945,170.98101806640625,117.32062530517578,10326.513548843504,60.395669291338585,254.0,10.0,5.366945020215278,11.933371903967696,55.352486731458335,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3566,35.0,980.7000122070312,152.50999450683594,388.85565185546875,208.69659423828125,6636.893985926548,17.067757009345797,749.0,600.0,3.717338392899595,3.9205707011113193,15.06058066707176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5249,33.0,1203.2900390625,505.2214050292969,743.4443359375,177.09527587890625,19188.26570760004,25.80995717344754,467.0,16.0,10.849836394125973,10.477289108098843,61.848891399363424,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1967,32.0,771.0,200.16000366210938,433.4297180175781,167.99935913085938,5635.068855260185,13.00111234705228,899.0,513.0,7.87702767781816,11.066594240684317,56.96465208214121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
55416,32.0,593.4688110351562,91.19999694824219,324.5428161621094,103.11026763916016,13894.71091067136,42.81318681318682,273.0,2.0,5.943052934898912,7.10918363215912,25.92183354358796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4776,28.0,773.8934936523438,166.02999877929688,445.59228515625,172.5290985107422,8439.022778320314,18.93888888888889,540.0,10.0,13.627567395072697,33.229790932420684,183.91167821555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
132766,28.0,1129.6949462890625,135.44000244140625,456.07794189453125,241.1343994140625,20018.49289372653,43.892703862660944,233.0,188.0,1.0056136531828703,1.8611837731460301,6.920708517523148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
