UF  1.ª Habilitação,Sexo,Faixa Etária,Categoria,2015,2016,2017,2018,2019
São Paulo,Feminino,22 a 21,B-Condutor Carro,678,"22,371","39,595","53,263","34,080"
São Paulo,Feminino,23 a 21,C-Condutor Caminhão,,1,1,,
São Paulo,Feminino,24 a 21,D-Condutor Ônibus,1,6,4,,
São Paulo,Feminino,22 a 25,A-Condutor Moto,"1,592","2,052","1,963","1,800",997
São Paulo,Feminino,23 a 25,AB-Condutor Moto/Carro,"53,661","34,478","22,989","20,925","10,456"
São Paulo,Feminino,24 a 25,AC-Condutor Moto/Caminhão,5,1,,,
São Paulo,Feminino,25 a 25,AD-Condutor Moto/Ônibus,120,42,4,,
São Paulo,Feminino,26 a 25,AE-Condutor Moto/Carreta,4,,,,
São Paulo,Feminino,27 a 25,B-Condutor Carro,"67,694","48,324","34,212","33,340","17,642"
São Paulo,Feminino,28 a 25,D-Condutor Ônibus,61,26,3,,
São Paulo,Feminino,29 a 25,E-Condutor Carreta,1,,,,
São Paulo,Feminino,30 a 25,XB-Condutor Ciclomotor/Carro,,1,,,
São Paulo,Feminino,26 a 30,A-Condutor Moto,"1,364","1,374","1,350","1,340",715
São Paulo,Feminino,27 a 30,AB-Condutor Moto/Carro,"22,196","16,051","13,747","13,366","6,949"
São Paulo,Feminino,28 a 30,AC-Condutor Moto/Caminhão,6,3,,,
São Paulo,Feminino,29 a 30,AD-Condutor Moto/Ônibus,56,22,3,,
São Paulo,Feminino,30 a 30,AE-Condutor Moto/Carreta,2,,,,
São Paulo,Feminino,31 a 30,B-Condutor Carro,"39,428","30,995","28,177","28,679","15,049"
São Paulo,Feminino,32 a 30,C-Condutor Caminhão,1,1,,,
São Paulo,Feminino,33 a 30,D-Condutor Ônibus,40,33,4,,
São Paulo,Feminino,31 a 40,A-Condutor Moto,"1,891","1,758","1,581","1,619",852
São Paulo,Feminino,32 a 40,AB-Condutor Moto/Carro,"21,974","15,148","12,453","12,482","6,122"
São Paulo,Feminino,33 a 40,AC-Condutor Moto/Caminhão,3,6,,,
São Paulo,Feminino,34 a 40,AD-Condutor Moto/Ônibus,61,13,3,,
São Paulo,Feminino,35 a 40,AE-Condutor Moto/Carreta,1,,,,
São Paulo,Feminino,36 a 40,B-Condutor Carro,"55,105","40,758","36,827","38,231","19,333"
São Paulo,Feminino,37 a 40,D-Condutor Ônibus,52,34,3,,
São Paulo,Feminino,38 a 40,E-Condutor Carreta,1,,,,
São Paulo,Feminino,39 a 40,X-Condutor Ciclomotor,,,,1,
São Paulo,Feminino,41 a 50,A-Condutor Moto,937,837,640,639,369
São Paulo,Feminino,42 a 50,AB-Condutor Moto/Carro,"6,172","3,922","3,139","3,035","1,492"
São Paulo,Feminino,43 a 50,AC-Condutor Moto/Caminhão,2,,,,
São Paulo,Feminino,44 a 50,AD-Condutor Moto/Ônibus,9,4,,,
São Paulo,Feminino,45 a 50,B-Condutor Carro,"23,797","16,333","14,511","15,361","7,901"
São Paulo,Feminino,46 a 50,C-Condutor Caminhão,,,1,,
São Paulo,Feminino,47 a 50,D-Condutor Ônibus,28,11,1,,
São Paulo,Feminino,51 a 60,A-Condutor Moto,320,241,201,171,106
São Paulo,Feminino,52 a 60,AB-Condutor Moto/Carro,"1,092",685,491,455,210
São Paulo,Feminino,53 a 60,AD-Condutor Moto/Ônibus,1,,,,
São Paulo,Feminino,54 a 60,B-Condutor Carro,"9,550","6,597","5,881","6,278","3,377"
São Paulo,Feminino,55 a 60,D-Condutor Ônibus,4,2,,,
São Paulo,Feminino,56 a 60,X-Condutor Ciclomotor,,,3,,
São Paulo,Feminino,61 a 70,A-Condutor Moto,25,9,12,6,3
São Paulo,Feminino,62 a 70,AB-Condutor Moto/Carro,67,41,18,22,5
